id,tag,name,birthday,mcnum,tlpd_id,tlpd_db,lp_name,sc2e_id,country,race,dom_val,dom_start_id,dom_end_id,current_rating_id,romanized_name
21448,alanrss,,,,,,,,,R,-1.9687254756877,26,27,8228208,
11633,AlexMiro,,,,,,,,BY,T,-1.30642037519417,28,29,8219499,
895,|||,"",,,,,"",,FR,Z,-0.807215563234924,25,26,8220055,""
17002,불곰,,,,,,,,,R,-1.75434550118854,25,26,8219830,
16270,퇴근,,,,,,,,KR,P,-1.6164211493587,31,32,8226289,
20808,홈딩,,,,,,,,KR,P,-1.74122490235324,25,26,8212313,
10654,꼬꼬마,,,,,,,,KR,R,-1.09484055007369,28,29,8217001,
22264,다현이,,,,,,,,KR,T,-1.78827955612882,29,30,8209126,
21466,반짝이,,,,,,,,KR,P,-1.97349582391047,42,43,8217491,
8682,센자키,,,,,,,,KR,T,-0.885224750637998,28,29,8210708,
22295,수열이,,,,,,,,,P,-1.97505788972687,28,29,8220912,
17624,테사기,,,,,,,,KR,P,-1.5747799859425,28,29,8216390,
19946,さいでん,,,,,,,,JP,R,-1.86259793220987,28,29,8218271,
20999,전지전능,,,,,,,,KR,P,-1.75185990137691,26,27,8217962,
4861,Reach,,,,,,,,PL,P,,25,26,8210668,
15097,Abyss,,,,,0,,,CA,Z,-1.66953683662951,30,31,8221413,
3663,Abyssdra,,,,4043,2,,,US,P,-0.702592150831947,28,29,8214941,
21779,AbyssTI,,,,,0,,,MX,T,-2.13916249999536,32,33,8220623,
7127,Adam,,,,,0,,,AU,T,-0.900159373324834,45,46,8224755,
16718,Adarthyo,"",,,,,"",,ES,R,-1.73505992103221,28,29,8221165,""
19948,Aerocool,,,,,0,,,DE,P,-2.04361731028173,50,51,8215345,
5266,aether,,,,,,,,ES,P,-0.952478899576876,27,28,8211902,
23191,aether,,,,,,,,RO,R,-2.10917800322548,25,26,8207643,
19025,AEW,,,,,0,,,RU,P,-2.10788661680428,62,63,8226318,
14000,aezakmi,,,,,0,,,PL,Z,-2.08478915474808,142,143,8210662,
22746,affd,,,,,,,,CA,R,-2.10784968253585,28,29,8211425,
23237,agagarka,,,,,,,,RU,R,-2.07095349935808,25,26,8221712,
21765,alice,,,,,,,,,R,-1.96880942099573,26,27,8210985,
5591,Ascending,Marvin Kastner,,,,0,"",,DE,T,-1.31631264675493,53,54,8214979,
23437,Assmicro,,,,,0,,,US,Z,-2.07748622543941,28,29,8228338,
7885,Battletoast,,,,,,,,AU,P,-0.964133359918927,27,28,8216075,
3515,Baxter[US],,,,3629,2,,,US,Z,-0.69017459383512,28,29,8210836,
1460,aLiveSS,,,,4095,1,,,KR,P,-0.534600471884808,27,28,8220135,
8810,Alizarin,Daniel Lopez,,,,,"",,US,Z,-1.16235412920405,29,30,8213204,""
19486,Alka,李健龙,2000-02-09,,,0,,,CN,P,-2.14324849092276,71,72,8215725,Li Jianlong
10879,ALoNeLeaf,,,,,,,,,P,-1.28678128940189,26,27,8207570,
20610,ALONGVIDAI,,,,,,,,VN,T,-1.96888871890685,28,29,8225068,
13056,Alpaca,"",,,,,"",,DE,Z,-1.7840422004256,92,93,8219083,""
5897,Alsn,Andreas Olsson,,,,,"",,SE,T,-0.81794209932959,30,31,8223906,
16804,AndrezinhoBH,,,,,0,,,BR,Z,-1.98553566757222,77,78,8223663,
22513,Apocalypto,,,,,,,,KR,Z,-1.88049556227677,26,27,8224877,
6176,AqueroN,Rubén Villanueva,,,,0,,,ES,T,-1.4560275217417,73,74,8207365,
17391,arafinwee,,,,,,,,PL,T,-1.76635831496107,30,31,8219254,
18271,aRaigorRu,,,,,,,,TH,T,-1.80777579383806,28,29,8223599,
8724,Archangel,,,,,0,,,HU,Z,-1.39682706802018,74,75,8220071,
20837,ArcSin,,,,,,,,,T,-1.93985112616356,25,26,8224087,
16247,Aristt,,,,,,,,,Z,-1.74606644682187,28,29,8224058,
15524,Arm,,,,,0,,,TH,T,-1.59300332702155,25,26,8222939,
9239,Armageddon,,,,,,,,CA,P,-2.03328353149862,162,163,8225383,
22482,ArnoDelCurto,,,,,,,,CH,Z,-2.11848356454345,47,48,8228211,
14176,Aro,,,,,0,,,PL,R,-1.94201614285541,59,60,8210762,
18156,Aronman,,,,,,,,HU,Z,-1.79074861632125,28,29,8221134,
20637,arterian,,,,,,,,CA,P,-1.96572594042028,26,27,8213149,
14834,Artic,,,,,0,,,NL,Z,-1.76775182039392,45,46,8223883,
17196,Artic,,,,,,,,NL,Z,-1.76957183142694,28,29,8218231,
17534,Arukas,,,,,,,,CN,Z,-1.71373161499859,28,29,8225853,
9258,Ascarecrow,Marcus Sully,,,,0,,,AU,Z,-2.32558018759907,139,140,8218887,
22319,Asero,,,,,,,,PH,P,-2.12864434324413,30,31,8211633,
15715,ASgod,,,,,,,,ZA,P,-2.03960308058223,91,92,8221084,
18477,Asheir,,,,,,,,NO,P,-1.83831004740739,26,27,8213511,
19871,Ashestyy,,,,,,,,ZW,P,-1.9472125441023,34,35,8208255,
20141,asia,,,,,,,,,R,-1.99309054968167,29,30,8207473,
672,Asp,,,,,,,,US,P,-0.447441510642322,27,28,8212168,
1536,Avoid,Tod Jobin,,,2400,3,"",,CA,T,-0.843281730333771,57,58,8220061,""
19144,AwfullChrono,,,,,,,,,Z,-1.84333985693762,28,29,8220214,
13494,AwwYoda,Gourlin Ewen,,,,,"",,FR,Z,-1.46626560573311,29,30,8221703,""
11502,Axel,Axel Jernbäcker,,,,0,,,SE,Z,-1.49017419118847,69,70,8217204,
3088,bioboy,Martin Winkler,,,3060,2,"",,AT,Z,-0.475092395252637,28,29,8225222,
15941,Biohzard,,,,,,,,RU,R,-1.66458476389815,28,29,8226892,
19611,BirdTurd,,,,,,,,,P,-1.88446746028816,27,28,8211803,
12477,Bishop,,,,,,,,US,P,-1.399582251151,29,30,8221441,
2644,Bizzy,,,,3876,3,,,KR,T,-0.44498686359378,28,29,8207501,
20310,bjorknes,,,,,,,,NO,R,-2.00524158609257,28,29,8220800,
16404,BlackHand,,,,,,,,PK,T,-1.70963677635636,28,29,8209934,
14136,BLACKki,"",,,,,"",,UA,T,-1.80254667369873,62,63,8221895,""
18883,Blackone,,,,,,,,,T,-2.01276000946821,53,54,8220763,
20440,BTWINikich,,,,,0,,,BY,Z,-2.0085957784798,62,63,8207852,
11086,Bubbalicious,"",,,,,"",,CA,T,-1.28203567509521,26,27,8218475,""
14018,BucketHeaD,,,,,0,,,CL,Z,-1.65187410896086,38,39,8209476,
2753,Bull,,,,3745,3,,,VN,T,,25,26,8225117,
22288,Bullerpik,,,,,,,,DK,T,-1.99914054740587,28,29,8224788,
17247,Bulya,,,,,,,,IL,Z,-2.19319572675555,122,123,8207281,
21124,Bumi,,,,,,,,US,P,-1.87859829928939,25,26,8220621,
18007,BuRaTiLo,,,,,,,,EE,Z,-1.777133141607,26,27,8212448,
6323,Burgers,,,,,,,,AU,P,-0.95524883591898,35,36,8227709,
18847,burnedgoat,,,,,,,,,Z,-1.80259238296767,28,29,8224091,
19154,Burnie,,,,,,,,ZA,T,-1.81427798636621,26,27,8208038,
6438,Burr,,,,,,,,CA,Z,-0.872504521568659,30,31,8208399,
23363,Burrell,,,,,,,,US,R,-2.14219854152664,27,28,8211307,
16720,Burzum,"",,,,,"",,ES,T,-1.75031076241729,28,29,8221563,""
14397,bushwacker,,,,,0,,,UK,Z,-1.75577865446058,65,66,8225209,
9945,Byte,Claudio De Rosa,,,,0,,,IT,P,-1.36107571885189,34,35,8211022,
9628,bytsuki,,,,,,,,JP,Z,-0.980606939734488,27,28,8219663,
14485,BZ1_aLo,,,,,,,,,R,-1.5713665886999,25,26,8218633,
22982,ChillAllDay,,,,,,,,UA,P,-2.08972451878315,39,40,8207513,
6904,ChillS,Benjamin Jantzen,,,,0,,,FR,T,,25,26,8208446,
19373,ChillyBoy,,,,,,,,,T,-1.82128615605561,28,29,8210487,
20615,ChimairaNk,,,,,,,,,Z,-1.97309151714626,26,27,8214846,
19562,Chime,,,,,,,,,Z,-1.8809781206562,28,29,8221814,
21218,Chimera,,,,,,,,US,P,-1.96328517690137,28,29,8213639,
18629,Chinaman,,,,,,,,,T,-1.85119768187559,43,44,8227741,
9794,Chivas,"",,,,,"",,BR,T,-2.1981774306661,204,205,8208018,""
14746,ChivasII,,,,,0,,,FR,Z,-1.56956661870458,28,29,8223554,
2887,chobo,,,,2372,3,,,DK,T,,25,26,8219988,
5524,ChoboStyleS,,,,,,,,DE,T,-0.920330254374134,27,28,8226418,
11193,ChoboTerran,,,,,,,,IL,P,-1.28501850748037,28,29,8214024,
2601,ChoiWonJae,최원재,,,3954,3,,,KR,T,,25,26,8226111,Choi Won Jae
15284,ChronoS,,,,,0,User:ChronoS_SC2,,KR,T,-1.58068548784083,39,40,8214910,
16184,ANKU,,,,,,,,RU,T,-1.69231305749455,28,29,8215036,
5776,ANSqt,,,,,,,,HU,T,-1.42737522779016,71,72,8217270,
13623,AntikilleR,,,,,,,,RU,P,-1.49976580735101,28,29,8225465,
3714,Cosmos,Nelson Castiaux,,,4078,2,"",,BE,T,-1.14882469418451,126,127,8219863,
14526,COSMOS,Lucas Faria,,,,0,,,BR,T,-2.474339750501,146,147,8207235,
23122,CoVid,,,,,,,,RU,P,-2.10121357177857,25,26,8224531,
2952,Cowsrule,Grant Watters,,,2452,2,"",,US,Z,,25,26,8226835,
8673,CoxtaOPhorte,,,,,0,,,PT,P,-2.00009831599746,190,191,8220527,
17338,CozmicHero,,,,,,,,US,T,-1.76194114785156,27,28,8223637,
4697,CptAwesome,Max Ottosson,,,,0,,,SE,P,-1.01831687443737,41,42,8225097,
14118,CptBIOBALL,"",,,,,"",,FR,T,-1.58403828001054,25,26,8227610,""
23193,Crafter,,,,,,,,MY,P,-2.08754774977295,25,26,8219168,
11721,Crakel,김기윤,,,,0,,,KR,T,-1.12972790420998,28,29,8225782,Kim Ki Yoon
6377,Crank,,,,,0,,,AU,T,-0.950650389848105,51,52,8208045,
4847,Crank,Dennis Jantsch,,,,0,,,DE,T,-1.06229176620206,55,56,8225088,
23183,Crashkek,,,,,,,,,R,-2.11266142928819,25,26,8213269,
2661,Crazy,,,,4407,3,,,KR,T,-0.615879293431783,27,28,8222816,
3418,CrazyCreek,Matthias Arnold,,,3351,2,"",,DE,R,-0.957346309227139,83,84,8219195,
16621,CrazyShot,,,,,,,,FR,T,-1.73592689322099,28,29,8210175,
11003,CreamStew,,,,,,"",,JP,Z,-1.12919035376594,35,36,8222545,
4500,Argus,Vincent Schraa,,,,,"",,NL,P,-0.849093055140256,50,51,8219860,
4682,AriA,,,,,0,,,KR,P,-0.735791100438023,25,26,8211080,Lee  Dong Hyun
5079,Aridhol,,,,,0,User:Aridhol,,DE,P,-1.2134904698986,55,56,8216935,
16384,ariesh,,,,,,,,ID,R,-1.73028447734403,28,29,8225334,
21781,arjunoj,,,,,0,,,PE,T,-2.17233598032839,52,53,8218172,
16520,BananaKinG,,,,,0,,,TW,T,-1.78159634312699,35,36,8211004,
15808,BangMogila,,,,,0,,,RU,Z,-1.76210143036671,33,34,8209975,
21957,BANKOF,,,,,,,,IT,T,-1.97615159400248,26,27,8215280,
21246,BAPenguins,,,,,,,,CA,P,-2.06682350646001,45,46,8212711,
12026,defeatme,,,,,,"",,AT,Z,-1.61381997381892,53,54,8218840,
17447,DefMars,,,,,0,,,RU,P,-1.99694299871668,81,82,8228115,
13793,Doctor,"",,,,,"",,DE,Z,-1.84672966783654,83,84,8221207,""
10154,DoctorSmurf,,,,,,,,US,P,-1.242008206006,27,28,8211777,
22286,dodi,,,,,0,,,IS,Z,-2.20559443964563,46,47,8227894,
